Donor ID,Donor City,Donor State,Donor Is Teacher,Donor Zip
D0001,Toronto,others,Yes,67545
D0002,Buffalo,New York,Yes,54703
D0003,Charlotte,North Carolina,Yes,57444
D0004,San Diego,California,No,54181
D0005,San Antonio,Texas,No,57226
D0006,Charlotte,North Carolina,No,87374
D0007,Houston,Texas,No,58467
D0008,Tampa,Florida,Yes,19430
D0009,Tampa,Florida,No,78305
D0010,Philadelphia,Pennsylvania,No,29537
D0011,Cleveland,Ohio,Yes,90663
D0012,Charlotte,North Carolina,No,50795
D0013,Brooklyn,New York,Yes,15517
D0014,Columbus,Ohio,No,78783
D0015,Tampa,Florida,No,94272
D0016,Raleigh,North Carolina,No,11438
D0017,Charlotte,North Carolina,No,40648
D0018,London,others,Yes,60735
D0019,Rockford,Illinois,Yes,38525
D0020,Oakland,California,No,84138
D0021,Augusta,Georgia,No,22508
D0022,Tampa,Florida,No,67428
D0023,Augusta,Georgia,Yes,38256
D0024,Grand Rapids,Michigan,No,32816
D0025,Dallas,Texas,No,91304
D0026,Detroit,Michigan,Yes,89137
D0027,Buffalo,New York,Yes,22848
D0028,Toronto,others,Yes,93832
D0029,Aurora,Illinois,No,85094
D0030,Detroit,Michigan,No,63033
D0031,San Jose,California,No,24958
D0032,Cleveland,Ohio,Yes,63409
D0033,Houston,Texas,No,43492
D0034,Pittsburgh,Pennsylvania,Yes,29127
D0035,Detroit,Michigan,No,97337
D0036,Sacramento,California,Yes,64623
D0037,Cleveland,Ohio,No,51427
D0038,Vancouver,others,No,13210
D0039,Pittsburgh,Pennsylvania,Yes,40667
D0040,Columbus,Ohio,No,27757
D0041,Philadelphia,Pennsylvania,Yes,97091
D0042,Raleigh,North Carolina,No,78443
D0043,Jacksonville,Florida,Yes,82077
D0044,Los Angeles,California,No,41231
D0045,Philadelphia,Pennsylvania,No,10059
D0046,Augusta,Georgia,Yes,89424
D0047,Oakland,California,Yes,85160
D0048,Dallas,Texas,No,29689
D0049,Augusta,Georgia,Yes,90747
D0050,Raleigh,North Carolina,No,78678
D0051,Philadelphia,Pennsylvania,Yes,66050
D0052,Vancouver,others,No,47726
D0053,Tampa,Florida,No,48754
D0054,Augusta,Georgia,Yes,36625
D0055,Toronto,others,No,41829
D0056,Buffalo,New York,No,32129
D0057,Charlotte,North Carolina,No,70898
D0058,Philadelphia,Pennsylvania,No,56076
