Project ID,Resource Item Name,Resource Quantity,Resource Unit Price,Resource Vendor Name
P0001,Trips,8,500.0,Other
P0001,Commercial Furniture,13,150.0,Other
P0001,Apple Ipad,5,300.0,Best Buy Education
P0002,Noise,5,15.0,Other
P0002,Kids Stay N Play Ball,14,20.0,Lakeshore Learning Materials
P0003,Daktronic GS6,7,8000.0,Other
P0004,3D Printer,4,1500.0,MakerBot
P0004,Wood Playground Equipment,10,6000.0,Other
P0005,Wood Playground Equipment,8,6000.0,Other
P0006,Contra Bassoon,8,4500.0,Other
P0006,Wood Playground Equipment,8,6000.0,Other
P0007,Sound System,11,800.0,Other
P0008,Daktronic GS6,1,8000.0,Other
P0008,Contra Bassoon,2,4500.0,Other
P0008,Trips,14,500.0,Other
P0009,Trips,4,500.0,Other
P0010,Sound System,13,800.0,Other
P0011,Handicapped Playground,1,95000.0,Other
P0011,Fencing Supplies and Labor,2,7500.0,Other
P0012,Trip,7,400.0,Other
P0012,Trip,10,400.0,Other
P0012,Contra Bassoon,12,4500.0,Other
P0013,Wood Playground Equipment,9,6000.0,Other
P0013,Markers,5,5.0,Amazon Business
P0014,Trip,13,400.0,Other
P0015,Handicapped Playground,1,95000.0,Other
P0015,Wood Playground Equipment,2,6000.0,Other
P0015,Little Tikes Commercial Structure,1,50000.0,Other
P0016,Sound System,8,800.0,Other
P0016,Wood Playground Equipment,11,6000.0,Other
P0017,Wood Playground Equipment,5,6000.0,Other
P0017,10 Alpha,6,50.0,Other
P0018,HP Chromebook,4,200.0,Best Buy Education
P0019,Soft Seats,12,15.0,Lakeshore Learning Materials
P0020,Telescopic Gym,12,12000.0,Other
P0020,Handicapped Playground,1,95000.0,Other
P0020,HP 11'6 Chromebook,11,220.0,Best Buy Education
P0021,Sound System,2,800.0,Other
P0021,Telescopic Gym,11,12000.0,Other
P0022,Commercial Furniture,1,150.0,Other
P0023,Playground,4,5000.0,Other
P0023,Standard Books,13,12.0,Amazon Business
P0024,Sound System,9,800.0,Other
P0025,Contra Bassoon,10,4500.0,Other
P0025,Black write and wipe markers ,13,6.0,Amazon Business
P0025,HP 11'6 Chromebook,11,220.0,Best Buy Education
P0026,Standard Books,15,12.0,Amazon Business
P0026,10 Alpha,2,50.0,Other
P0026,Telescopic Gym,9,12000.0,Other
P0027,Daktronic GS6,8,8000.0,Other
P0027,Wood Playground Equipment,5,6000.0,Other
P0028,Playground with Playsystem,13,25000.0,Other
P0028,Soft Seats,8,15.0,Lakeshore Learning Materials
P0029,Sound System,12,800.0,Other
P0029,Handicapped Playground,1,95000.0,Other
P0030,Little Tikes Commercial Structure,1,50000.0,Other
P0030,Soft Seats,11,15.0,Lakeshore Learning Materials
P0030,3D Printer,7,1500.0,MakerBot
P0031,Kids Stay N Play Ball,14,20.0,Lakeshore Learning Materials
P0032,Soft Seats,9,15.0,Lakeshore Learning Materials
P0032,Trips,6,500.0,Other
P0032,Sound System,14,800.0,Other
P0033,Wood Playground Equipment,4,6000.0,Other
P0033,Markers,11,5.0,Amazon Business
P0034,Privacy Partition,1,10.0,AKJ Education
P0034,Telescopic Gym,1,12000.0,Other
P0035,Markers,8,5.0,Amazon Business
P0035,Trip,7,400.0,Other
P0035,Playground,4,5000.0,Other
P0036,Apple Ipad,3,300.0,Best Buy Education
P0036,Apple Ipad,2,300.0,Best Buy Education
P0036,Commercial Furniture,1,150.0,Other
P0037,Standard Books,13,12.0,Amazon Business
P0037,Privacy Partition,11,10.0,AKJ Education
P0038,Privacy Partition,6,10.0,AKJ Education
P0039,Trips,1,500.0,Other
P0039,Soft Seats,14,15.0,Lakeshore Learning Materials
P0039,Noise,13,15.0,Other
P0040,Markers,9,5.0,Amazon Business
P0041,Contra Bassoon,1,4500.0,Other
P0041,Markers,1,5.0,Amazon Business
P0041,3D Printer,9,1500.0,MakerBot
P0042,3D Printer,6,1500.0,MakerBot
P0042,Trips,3,500.0,Other
P0042,Sound System,2,800.0,Other
P0043,Wood Playground Equipment,3,6000.0,Other
P0043,Wood Playground Equipment,5,6000.0,Other
P0043,Playground with Playsystem,9,25000.0,Other
P0044,Apple Ipad,8,300.0,Best Buy Education
P0044,Daktronic GS6,3,8000.0,Other
P0044,Sound System,12,800.0,Other
P0045,Telescopic Gym,6,12000.0,Other
P0045,Wood Playground Equipment,9,6000.0,Other
P0046,Telescopic Gym,3,12000.0,Other
P0047,Fencing Supplies and Labor,3,7500.0,Other
P0047,Daktronic GS6,3,8000.0,Other
P0047,Noise,13,15.0,Other
P0048,Playground with Playsystem,7,25000.0,Other
P0048,Markers,4,5.0,Amazon Business
P0048,Black write and wipe markers ,12,6.0,Amazon Business
P0049,Commercial Furniture,2,150.0,Other
P0049,Sound System,5,800.0,Other
P0049,Telescopic Gym,14,12000.0,Other
P0050,Markers,10,5.0,Amazon Business
P0050,Playground,7,5000.0,Other
P0051,Handicapped Playground,1,95000.0,Other
P0051,Markers,14,5.0,Amazon Business
P0052,3D Printer,14,1500.0,MakerBot
P0052,10 Alpha,7,50.0,Other
P0052,Standard Books,14,12.0,Amazon Business
P0053,Little Tikes Commercial Structure,1,50000.0,Other
P0053,3D Printer,8,1500.0,MakerBot
P0053,Fencing Supplies and Labor,8,7500.0,Other
P0054,10 Alpha,8,50.0,Other
P0054,Apple Ipad,6,300.0,Best Buy Education
P0054,Telescopic Gym,9,12000.0,Other
P0055,Markers,2,5.0,Amazon Business
P0055,Playground,3,5000.0,Other
P0055,Trips,1,500.0,Other
P0056,10 Alpha,15,50.0,Other
P0056,Trip,1,400.0,Other
P0057,Apple Ipad,8,300.0,Best Buy Education
P0058,Playground with Playsystem,9,25000.0,Other
P0058,Leveled Bookroom,13,3500.0,Amazon Business
P0058,Telescopic Gym,3,12000.0,Other
P0059,Contra Bassoon,10,4500.0,Other
P0059,Privacy Partition,10,10.0,AKJ Education
P0059,Kids Stay N Play Ball,6,20.0,Lakeshore Learning Materials
P0060,Daktronic GS6,5,8000.0,Other
P0061,Trip,12,400.0,Other
P0061,Noise,2,15.0,Other
P0062,Commercial Furniture,10,150.0,Other
P0062,3D Printer,5,1500.0,MakerBot
P0062,10 Alpha,15,50.0,Other
P0063,Daktronic GS6,8,8000.0,Other
P0063,Noise,6,15.0,Other
P0064,Sound System,7,800.0,Other
P0065,Commercial Furniture,2,150.0,Other
P0065,Contra Bassoon,1,4500.0,Other
P0065,HP Chromebook,7,200.0,Best Buy Education
P0066,Fencing Supplies and Labor,8,7500.0,Other
P0067,Kids Stay N Play Ball,9,20.0,Lakeshore Learning Materials
P0067,Playground with Playsystem,4,25000.0,Other
P0068,Sound System,5,800.0,Other
P0068,HP 11'6 Chromebook,5,220.0,Best Buy Education
P0068,Daktronic GS6,5,8000.0,Other
P0069,Kids Stay N Play Ball,4,20.0,Lakeshore Learning Materials
P0070,Markers,1,5.0,Amazon Business
P0070,Telescopic Gym,3,12000.0,Other
P0070,Kids Stay N Play Ball,7,20.0,Lakeshore Learning Materials
P0071,Standard Books,6,12.0,Amazon Business
P0071,Kids Stay N Play Ball,9,20.0,Lakeshore Learning Materials
P0072,10 Alpha,5,50.0,Other
P0073,Fencing Supplies and Labor,4,7500.0,Other
P0073,10 Alpha,8,50.0,Other
P0074,Kids Stay N Play Ball,8,20.0,Lakeshore Learning Materials
P0074,Soft Seats,6,15.0,Lakeshore Learning Materials
P0074,Telescopic Gym,7,12000.0,Other
P0075,Playground,6,5000.0,Other
P0075,Kids Stay N Play Ball,13,20.0,Lakeshore Learning Materials
P0076,Standard Books,6,12.0,Amazon Business
P0076,Playground with Playsystem,9,25000.0,Other
P0076,Wood Playground Equipment,4,6000.0,Other
P0077,HP 11'6 Chromebook,11,220.0,Best Buy Education
P0077,Kids Stay N Play Ball,10,20.0,Lakeshore Learning Materials
P0078,Trips,4,500.0,Other
P0078,Noise,15,15.0,Other
P0079,Privacy Partition,4,10.0,AKJ Education
P0079,Kids Stay N Play Ball,15,20.0,Lakeshore Learning Materials
P0079,Black write and wipe markers ,7,6.0,Amazon Business
P0080,Sound System,7,800.0,Other
P0081,Commercial Furniture,10,150.0,Other
P0081,Little Tikes Commercial Structure,1,50000.0,Other
P0082,Wood Playground Equipment,9,6000.0,Other
P0082,Trip,1,400.0,Other
P0083,Standard Books,4,12.0,Amazon Business
P0083,Wood Playground Equipment,2,6000.0,Other
P0084,Soft Seats,4,15.0,Lakeshore Learning Materials
P0085,Privacy Partition,3,10.0,AKJ Education
P0085,10 Alpha,7,50.0,Other
P0085,Soft Seats,5,15.0,Lakeshore Learning Materials
P0086,Playground with Playsystem,5,25000.0,Other
P0087,Markers,13,5.0,Amazon Business
P0087,Kids Stay N Play Ball,12,20.0,Lakeshore Learning Materials
P0088,Apple Ipad,14,300.0,Best Buy Education
P0088,Leveled Bookroom,1,3500.0,Amazon Business
P0088,Apple Ipad,15,300.0,Best Buy Education
P0089,Kids Stay N Play Ball,10,20.0,Lakeshore Learning Materials
P0089,10 Alpha,13,50.0,Other
P0089,Black write and wipe markers ,6,6.0,Amazon Business
P0090,Soft Seats,11,15.0,Lakeshore Learning Materials
P0091,Handicapped Playground,1,95000.0,Other
P0091,Playground,8,5000.0,Other
P0091,HP Chromebook,8,200.0,Best Buy Education
P0092,Telescopic Gym,3,12000.0,Other
P0093,Trip,5,400.0,Other
P0094,Handicapped Playground,1,95000.0,Other
P0095,Contra Bassoon,4,4500.0,Other
P0095,10 Alpha,8,50.0,Other
P0096,Handicapped Playground,1,95000.0,Other
P0096,Leveled Bookroom,13,3500.0,Amazon Business
P0097,Sound System,6,800.0,Other
P0097,Noise,9,15.0,Other
P0097,HP 11'6 Chromebook,2,220.0,Best Buy Education
P0098,Fencing Supplies and Labor,10,7500.0,Other
P0099,Playground with Playsystem,9,25000.0,Other
P0099,Trips,4,500.0,Other
P0099,10 Alpha,9,50.0,Other
P0100,Soft Seats,11,15.0,Lakeshore Learning Materials
P0100,Playground with Playsystem,15,25000.0,Other
P0101,Trips,2,500.0,Other
P0102,Playground with Playsystem,15,25000.0,Other
P0102,Black write and wipe markers ,5,6.0,Amazon Business
P0102,Contra Bassoon,8,4500.0,Other
P0103,Little Tikes Commercial Structure,1,50000.0,Other
P0103,Telescopic Gym,7,12000.0,Other
P0104,Commercial Furniture,9,150.0,Other
P0104,Kids Stay N Play Ball,14,20.0,Lakeshore Learning Materials
P0104,Noise,6,15.0,Other
P0105,Little Tikes Commercial Structure,1,50000.0,Other
P0106,Trip,15,400.0,Other
P0106,Privacy Partition,10,10.0,AKJ Education
P0107,Noise,1,15.0,Other
P0107,HP Chromebook,11,200.0,Best Buy Education
P0108,Little Tikes Commercial Structure,1,50000.0,Other
P0108,Telescopic Gym,6,12000.0,Other
P0108,Contra Bassoon,9,4500.0,Other
P0109,Daktronic GS6,4,8000.0,Other
P0109,Little Tikes Commercial Structure,1,50000.0,Other
P0109,Little Tikes Commercial Structure,1,50000.0,Other
P0110,Markers,2,5.0,Amazon Business
P0110,Daktronic GS6,1,8000.0,Other
P0111,Standard Books,8,12.0,Amazon Business
P0111,Playground,1,5000.0,Other
P0111,Wood Playground Equipment,8,6000.0,Other
P0112,Telescopic Gym,9,12000.0,Other
P0112,Telescopic Gym,6,12000.0,Other
P0113,Trip,11,400.0,Other
P0114,Telescopic Gym,4,12000.0,Other
P0114,Noise,13,15.0,Other
P0115,Telescopic Gym,14,12000.0,Other
P0115,Soft Seats,11,15.0,Lakeshore Learning Materials
P0115,Trips,6,500.0,Other
P0116,Fencing Supplies and Labor,12,7500.0,Other
P0116,Little Tikes Commercial Structure,1,50000.0,Other
P0116,Sound System,4,800.0,Other
P0117,3D Printer,15,1500.0,MakerBot
P0118,Noise,12,15.0,Other
P0118,Little Tikes Commercial Structure,1,50000.0,Other
P0118,Fencing Supplies and Labor,6,7500.0,Other
P0119,Apple Ipad,15,300.0,Best Buy Education
P0120,Trip,7,400.0,Other
P0120,Wood Playground Equipment,13,6000.0,Other
P0121,Playground,14,5000.0,Other
P0121,Fencing Supplies and Labor,9,7500.0,Other
P0121,10 Alpha,1,50.0,Other
P0122,Privacy Partition,11,10.0,AKJ Education
P0123,HP 11'6 Chromebook,3,220.0,Best Buy Education
P0123,Standard Books,15,12.0,Amazon Business
P0124,Wood Playground Equipment,4,6000.0,Other
P0125,Soft Seats,4,15.0,Lakeshore Learning Materials
P0125,Soft Seats,14,15.0,Lakeshore Learning Materials
P0125,Kids Stay N Play Ball,2,20.0,Lakeshore Learning Materials
P0126,Soft Seats,12,15.0,Lakeshore Learning Materials
P0126,Playground with Playsystem,9,25000.0,Other
P0127,Telescopic Gym,5,12000.0,Other
P0127,Noise,8,15.0,Other
P0128,Daktronic GS6,12,8000.0,Other
P0128,Handicapped Playground,1,95000.0,Other
