School ID,School Name,School Metro Type,School Percentage Free Lunch,School State,School Zip,School City,School County,School District
S0001,Hillcrest Middle School,unknown,30.36,MI,84736,Detroit,County S0001,District S0001
S0002,Martin Luther King Elementry School,town,92.74,OH,11996,Cincinnati,County S0002,District S0002
S0003,Lincoln Elementary School,suburban,44.29,CA,76178,San Francisco,County S0003,District S0003
S0004,Oakridge Middle School,rural,52.64,CA,67160,Oakland,County S0004,District S0004
S0005,Cesar Chavez Elementry School,unknown,92.13,FL,44857,Jacksonville,County S0005,District S0005
S0006,Washington Elementary School,suburban,70.48,TX,54163,Fort Worth,County S0006,District S0006
S0007,Maple Grove School,urban,48.5,GA,50503,Columbus,County S0007,District S0007
S0008,Summit Elementary School,urban,50.29,NY,69380,Brooklyn,County S0008,District S0008
S0009,Deerfield Elementry School,urban,11.42,CA,78318,Oakland,County S0009,District S0009
S0010,Maple Grove School,suburban,30.56,FL,79833,Jacksonville,County S0010,District S0010
S0011,Pinecrest Academy,town,65.12,OH,27707,Cincinnati,County S0011,District S0011
S0012,Hillcrest Middle School,unknown,66.62,GA,38782,Columbus,County S0012,District S0012
S0013,Jefferson High School,urban,70.85,CA,59703,Oakland,County S0013,District S0013
S0014,Lakeside High School,suburban,41.56,NC,62351,Raleigh,County S0014,District S0014
S0015,Oakridge Middle School,suburban,44.38,FL,25181,Miami,County S0015,District S0015
S0016,Riverside High School,suburban,63.4,TX,34035,Austin,County S0016,District S0016
S0017,Prairie View Elementry School,unknown,13.74,MI,52823,Warren,County S0017,District S0017
S0018,Prairie View Elementry School,unknown,13.36,NC,73856,Greensboro,County S0018,District S0018
S0019,Oakridge Middle School,rural,72.78,NC,69105,Greensboro,County S0019,District S0019
S0020,Lakeside High School,rural,77.19,FL,79727,Tampa,County S0020,District S0020
S0021,Summit Elementary School,suburban,58.55,MI,64162,Warren,County S0021,District S0021
S0022,Martin Luther King Elementry School,suburban,93.76,IL,47816,Chicago,County S0022,District S0022
S0023,Riverside High School,town,42.44,NC,69656,Greensboro,County S0023,District S0023
S0024,Deerfield Elementry School,rural,10.72,NC,33556,Raleigh,County S0024,District S0024
S0025,Summit Elementary School,rural,36.68,FL,79893,Jacksonville,County S0025,District S0025
S0026,Washington Elementary School,urban,56.54,GA,43125,Columbus,County S0026,District S0026
S0027,Deerfield Elementry School,town,14.98,MI,69540,Grand Rapids,County S0027,District S0027
S0028,Maple Grove School,suburban,53.54,IL,36437,Rockford,County S0028,District S0028
S0029,Lincoln Elementary School,rural,78.72,GA,59117,Augusta,County S0029,District S0029
S0030,Summit Elementary School,town,64.3,CA,83655,Los Angeles,County S0030,District S0030
S0031,Washington Elementary School,rural,38.16,GA,54978,Atlanta,County S0031,District S0031
S0032,Hillcrest Middle School,rural,44.98,PA,68965,Pittsburgh,County S0032,District S0032
S0033,Lincoln Elementary School,unknown,59.62,TX,27903,El Paso,County S0033,District S0033
S0034,Summit Elementary School,unknown,59.67,OH,34279,Cincinnati,County S0034,District S0034
S0035,Deerfield Elementry School,town,11.41,OH,97974,Cleveland,County S0035,District S0035
S0036,Prairie View Elementry School,suburban,11.08,IL,17734,Aurora,County S0036,District S0036
S0037,Maple Grove School,suburban,37.12,IL,14498,Rockford,County S0037,District S0037
S0038,Prairie View Elementry School,rural,11.73,NC,32909,Raleigh,County S0038,District S0038
S0039,Lakeside High School,town,63.55,MI,82509,Warren,County S0039,District S0039
S0040,Summit Elementary School,urban,79.98,NC,66520,Greensboro,County S0040,District S0040
S0041,Maple Grove School,urban,42.8,OH,34382,Cincinnati,County S0041,District S0041
S0042,Deerfield Elementry School,unknown,13.7,FL,44671,Miami,County S0042,District S0042
S0043,Washington Elementary School,unknown,34.01,GA,23238,Atlanta,County S0043,District S0043
S0044,Hillcrest Middle School,rural,69.08,NC,54700,Greensboro,County S0044,District S0044
S0045,Pinecrest Academy,unknown,58.77,GA,78323,Atlanta,County S0045,District S0045
S0046,Lakeside High School,suburban,32.47,TX,72108,San Antonio,County S0046,District S0046
S0047,Prairie View Elementry School,unknown,13.62,OH,56425,Cleveland,County S0047,District S0047
S0048,Lakeside High School,town,74.25,NY,68306,Buffalo,County S0048,District S0048
S0049,Riverside High School,urban,33.84,CA,35963,San Francisco,County S0049,District S0049
S0050,Lincoln Elementary School,rural,77.97,FL,14898,Tampa,County S0050,District S0050
S0051,Deerfield Elementry School,suburban,12.06,OH,64915,Columbus,County S0051,District S0051
S0052,Jefferson High School,rural,35.88,IL,10125,Aurora,County S0052,District S0052
S0053,Riverside High School,town,63.52,NY,55101,New York,County S0053,District S0053
S0054,Hillcrest Middle School,urban,38.77,NY,20987,Queens,County S0054,District S0054
S0055,Prairie View Elementry School,town,13.3,NC,78558,Greensboro,County S0055,District S0055
S0056,Riverside High School,suburban,68.73,NY,45828,Rochester,County S0056,District S0056
S0057,Valley View Elementary School,unknown,34.63,GA,67703,Columbus,County S0057,District S0057
S0058,Pinecrest Academy,urban,57.45,CA,61684,San Diego,County S0058,District S0058
S0059,Cesar Chavez Elementry School,town,94.04,FL,18771,Tampa,County S0059,District S0059
S0060,Lincoln Elementary School,rural,44.83,OH,91318,Cleveland,County S0060,District S0060
S0061,Maple Grove School,rural,50.86,GA,51318,Augusta,County S0061,District S0061
S0062,Washington Elementary School,town,67.22,FL,76130,Orlando,County S0062,District S0062
S0063,Lakeside High School,town,76.34,NY,11055,New York,County S0063,District S0063
S0064,Lincoln Elementary School,urban,55.64,GA,85458,Columbus,County S0064,District S0064
